 Calories,Fat,Carb,Fiber,Protein
300,5,50,3,12
380,6,70,7,10
410,22,45,3,10
460,23,56,2,7
420,22,52,2,6
380,16,53,1,6
420,17,61,2,5
240,12,28,1,5
350,22,38,0,2
320,16,36,1,8
170,5,30,2,2
310,15,42,2,4
440,21,60,2,7
330,18,38,1,6
390,22,43,2,7
490,24,64,2,6
390,15,56,2,8
270,1,58,3,9
390,16,57,1,5
360,23,36,0,2
420,15,64,1,6
430,23,53,2,5
410,24,46,3,6
490,28,55,3,7
440,23,54,3,5
100,3.5,14,0,3
290,3.5,53,2,11
90,3,14,0,1
200,8,30,0,6
240,5,45,0,2
250,14,29,1,3
470,20,68,1,6
310,10,47,2,3
350,4,64,8,17
290,12,40,3,5
330,18,39,1,3
480,27,56,1,5
360,21,36,3,8
330,18,39,1,4
120,4.5,18,0,2
280,1.5,56,2,9
410,15,63,2,6
420,17,61,1,6
360,18,45,1,3
370,9,67,2,5
330,17,44,1,2
330,17,44,1,2
330,6,57,7,12
180,9,23,0,2
200,8,28,0,6
300,13,44,1,3
360,18,45,1,3
390,21,45,2,6
270,14,27,2,10
600,25,80,10,19
300,14,34,2,11
360,18,33,3,17
130,12,7,3,2
430,23,34,3,21
470,29,29,4,21
170,13,9,2,7
620,37,62,10,13
300,8,43,2,19
360,7,52,3,22
440,26,44,7,10
600,32,47,6,32
530,29,44,2,23
350,18,31,1,16
500,28,46,4,18
560,29,53,7,24
570,23,67,11,27
420,16,49,5,22
450,27,34,4,20
460,22,45,4,20
460,24,40,5,23
520,26,53,5,20
360,12,42,5,24
170,9,23,0,1
160,8,23,1,2
180,9,23,0,2
180,9,24,0,1
370,19,32,1,18
280,13,18,6,18
160,2.5,28,4,5
490,27,40,1,21
320,17,28,1,14
220,2.5,43,5,5
230,6,28,2,16
500,28,41,1,15
410,18,43,2,21
450,23,42,1,24
310,22,9,0,19
170,7,13,1,13
500,30,35,3,26
290,10,33,6,19
500,19,57,4,26
420,17,42,9,27
510,27,37,5,24
470,25,35,3,21
480,27,42,7,16
480,17,57,3,23
480,20,49,3,22
650,29,80,21,23
420,18,47,3,11
460,21,31,2,29
560,23,55,3,34
240,2.5,39,3,14
240,2.5,42,2,14
180,14,12,3,4
190,18,6,3,7
340,13,38,0,18
90,8,5,4,1
90,0,24,4,1
